"","Country","Year","percent_of_gdp_spent_on_education"
"777","France",2012,5.45642
"778","France",2013,5.50028
"779","France",2014,5.51206
"780","France",2015,5.46424
"781","Georgia",1994,6.91566
"782","Georgia",1995,3.25487115428284
"783","Georgia",1996,3.21245942222784
"784","Georgia",1997,3.17004769017284
"785","Georgia",1998,2.10888
"786","Georgia",1999,2.15513
"787","Georgia",2000,2.18107
"788","Georgia",2001,2.1375
"789","Georgia",2002,2.23501
"790","Georgia",2003,2.0656
"791","Georgia",2004,2.9142
"792","Georgia",2005,2.48431
"793","Georgia",2006,3.00364
"794","Georgia",2007,2.69687
"795","Georgia",2008,2.91956
"796","Georgia",2009,3.22239
"797","Georgia",2010,2.61869517345779
"798","Georgia",2011,2.69622
"799","Georgia",2012,1.98331
"800","Georgia",2013,2.49145997729279
"801","Georgia",2014,2.44904824523779
"802","Georgia",2015,2.40663651318279
"803","Georgia",2016,3.78477
"804","Germany",1993,4.41382
"805","Germany",1994,4.33488
"806","Germany",1995,4.42079
"807","Germany",1996,4.48319
"808","Germany",1997,4.41737688544517
"809","Germany",1998,4.45345
"810","Germany",1999,4.46645826192648
"811","Germany",2000,4.49099895016713
"812","Germany",2001,4.51553963840779
"813","Germany",2002,4.54008032664844
"814","Germany",2003,4.5646210148891
"815","Germany",2004,4.58916170312975
"816","Germany",2005,4.61370239137041
"817","Germany",2006,4.2793
"818","Germany",2007,4.34303
