"","Country","Year","rural_population_percent"
"495","Costa Rica",2001,0.438701792782679
"496","Costa Rica",2002,0.42225448344502
"497","Costa Rica",2003,0.406012785084353
"498","Costa Rica",2004,0.390249519872238
"499","Costa Rica",2005,0.37513831015794
"500","Costa Rica",2006,0.360326987137059
"501","Costa Rica",2007,0.346337032736757
"502","Costa Rica",2008,0.332928510357853
"503","Costa Rica",2009,0.319894343169124
"504","Costa Rica",2010,0.30699669077374
"505","Costa Rica",2011,0.294698755641286
"506","Costa Rica",2012,0.282639944748638
"507","Costa Rica",2013,0.270979911345846
"508","Costa Rica",2014,0.259924949048238
"509","Croatia",1995,0.495417909143525
"510","Croatia",1996,0.505649520079246
"511","Croatia",1997,0.503078507350584
"512","Croatia",1998,0.500699992738714
"513","Croatia",1999,0.497540151841787
"514","Croatia",2000,0.500552816767164
"515","Croatia",2001,0.492340396217416
"516","Croatia",2002,0.486291113676733
"517","Croatia",2003,0.483560090032163
"518","Croatia",2004,0.481230971904915
"519","Croatia",2005,0.479081068473204
"520","Croatia",2006,0.477209041813274
"521","Croatia",2007,0.475478721090957
"522","Croatia",2008,0.47414866205476
"523","Croatia",2009,0.472874023582732
"524","Croatia",2010,0.471258555020928
"525","Croatia",2011,0.456548652074585
"526","Croatia",2012,0.468344327018963
"527","Croatia",2013,0.466073575247907
"528","Croatia",2014,0.463509933002568
"529","Croatia",2015,0.460575209849888
"530","Croatia",2016,0.510195837225445
"531","Cuba",1992,0.283315454101068
"532","Cuba",1993,0.28077784522722
"533","Cuba",1994,0.278252378435335
"534","Cuba",1995,0.275890083406427
"535","Cuba",1996,0.273704179649256
"536","Cuba",1997,0.272459520219935
"537","Cuba",1998,0.269894515695075
"538","Cuba",1999,0.267401188787676
"539","Cuba",2000,0.264654364007267
"540","Cuba",2001,0.262095040853779
"541","Cuba",2002,0.259216544128032
"542","Cuba",2003,0.256833419190349
"543","Cuba",2004,0.255177431030764
"544","Cuba",2005,0.253673394397935
"545","Cuba",2006,0.252069081747561
"546","Cuba",2007,0.25067493761018
"547","Cuba",2008,0.249455596529396
"548","Cuba",2009,0.248342233184921
"549","Cuba",2010,0.247278700268855
"550","Cuba",2011,0.246266689678625
"551","Cuba",2012,0.245374974838764
"552","Cuba",2013,0.245030734225598
"553","Cuba",2014,0.244793040346562
"554","Cuba",2015,0.244463823116341
"555","Cyprus",1999,0.340194272668063
"556","Cyprus",2000,0.337898609508358
"557","Cyprus",2004,0.462179471400212
"558","Cyprus",2005,0.465011750211047
"559","Cyprus",2006,0.467119971629893
"560","Cyprus",2007,0.467464213998164
"561","Cyprus",2008,0.465628785799862
"562","Cyprus",2009,0.462388633623358
"563","Cyprus",2010,0.458694265654659
"564","Cyprus",2011,0.457816415903179
"565","Cyprus",2012,0.456349333051703
"566","Cyprus",2013,0.462375325485199
"567","Cyprus",2014,0.472037812228588
"568","Cyprus",2015,0.482077488763099
"569","Cyprus",2016,0.544790502498787
"570","Czech Republic",1990,0.263683565510554
"571","Czech Republic",1991,0.264893378340483
"572","Czech Republic",1992,0.266134202363771
"573","Czech Republic",1993,0.267193945710375
"574","Czech Republic",1994,0.268103369282951
"575","Czech Republic",1995,0.268739851119131
"576","Czech Republic",1996,0.26926174282185
"577","Czech Republic",1997,0.269724394359243
"578","Czech Republic",1998,0.270250474572508
"579","Czech Republic",1999,0.271046384965969
"580","Czech Republic",2000,0.271651406762886
"581","Czech Republic",2001,0.271280871356658
"582","Czech Republic",2002,0.273846076232632
"583","Czech Republic",2003,0.274599168635421
"584","Czech Republic",2004,0.275458290891392
"585","Czech Republic",2005,0.276135059611335
"586","Czech Republic",2006,0.277079993292653
"587","Czech Republic",2007,0.278357873912133
"588","Czech Republic",2008,0.279094952874335
"589","Czech Republic",2009,0.280357211860477
"590","Czech Republic",2010,0.281679619887798
"591","Czech Republic",2011,0.284114210333828
"592","Czech Republic",2012,0.283903019289885
"593","Czech Republic",2013,0.282622913798744
"594","Czech Republic",2014,0.28117936455298
"595","Czech Republic",2015,0.280011984792568
"596","Czech Republic",2016,0.31273234330835
"597","Denmark",1994,0.160706032799435
"598","Denmark",1995,0.160787228572288
"599","Denmark",1996,0.160483362722762
"600","Denmark",1997,0.160210001375245
"601","Denmark",1998,0.159884157879881
"602","Denmark",1999,0.159497777521447
"603","Denmark",2000,0.159164815985881
"604","Denmark",2001,0.158570611017102
"605","Denmark",2002,0.157293180642872
"606","Denmark",2003,0.156063616717661
"607","Denmark",2004,0.153774900806792
"608","Denmark",2005,0.150598455397435
"609","Denmark",2006,0.147910335290691
"610","Denmark",2007,0.145840387360067
"611","Denmark",2008,0.143796467078326
"612","Denmark",2009,0.141949098278748
"613","Denmark",2010,0.140399012148064
"614","Denmark",2011,0.13854864209669
"615","Denmark",2012,0.136411828768969
"616","Denmark",2013,0.134638967231913
"617","Denmark",2014,0.133075815010094
"618","Denmark",2015,0.131701647074035
"619","Dominica",1985,0.502296652158853
"620","Ecuador",1985,0.575984810881932
"621","Ecuador",1986,0.564836186309849
"622","Ecuador",1987,0.537154707884034
"623","Ecuador",1988,0.526490303205988
"624","Ecuador",1989,0.531305151644437
"625","Ecuador",1990,0.521415681562889
"626","Ecuador",1991,0.509616077343503
"627","Ecuador",1992,0.506454122247588
"628","Ecuador",1993,0.49928840054955
"629","Ecuador",1994,0.492125554329881
"630","Ecuador",1995,0.485094619140041
"631","Ecuador",1996,0.478106139076795
"632","Ecuador",1997,0.471326478690466
"633","Ecuador",1998,0.464676078246342
"634","Ecuador",1999,0.458020759175264
"635","Ecuador",2000,0.451301260267896
"636","Ecuador",2001,0.44476180026198
"637","Ecuador",2002,0.440105531575611
"638","Ecuador",2003,0.43674689404123
"639","Ecuador",2004,0.433488097618223
"640","Ecuador",2005,0.430449847777526
"641","Ecuador",2006,0.427381454892314
"642","Ecuador",2007,0.424638893523136
"643","Ecuador",2008,0.422123020178585
"644","Ecuador",2009,0.419641661694654
"645","Ecuador",2010,0.41706689512485
"646","Ecuador",2011,0.415078115786193
"647","Ecuador",2012,0.413085119118879
"648","Ecuador",2013,0.410910964897364
"649","Ecuador",2014,0.408715238025551
"650","Ecuador",2015,0.406574366013544
"651","El Salvador",1990,0.590979199224574
"652","El Salvador",1991,0.584293026021928
"653","El Salvador",1992,0.584361315366906
"654","El Salvador",1993,0.566523748690167
"655","El Salvador",1995,0.533824139369837
"656","El Salvador",1996,0.518593972028407
"657","El Salvador",1997,0.502990825172757
"658","El Salvador",1998,0.487105247966628
"659","El Salvador",1999,0.479142404538236
"660","El Salvador",2000,0.471043474353238
"661","El Salvador",2001,0.462608126034401
"662","El Salvador",2002,0.454126492531535
"663","El Salvador",2003,0.445745213013313
"664","El Salvador",2004,0.437616007437226
"665","El Salvador",2005,0.429871460229639
"666","El Salvador",2006,0.421830358746336
"667","El Salvador",2007,0.414171754883353
"668","El Salvador",2008,0.403576608462768
"669","El Salvador",2009,0.393284862064157
"670","El Salvador",2010,0.38301818520574
"671","El Salvador",2011,0.373330628849727
"672","El Salvador",2012,0.363310365300639
"673","El Salvador",2013,0.353174713301566
"674","El Salvador",2014,0.343218001766049
"675","Estonia",1995,0.314509542609306
"676","Estonia",1996,0.31523323968133
"677","Estonia",1997,0.316201121514984
"678","Estonia",1998,0.317425778531005
"679","Estonia",1999,0.32243932564676
"680","Estonia",2000,0.32074029213537
"681","Estonia",2001,0.322082420861022
"682","Estonia",2002,0.323536805522328
"683","Estonia",2003,0.325188710495494
"684","Estonia",2004,0.326953086769863
"685","Estonia",2005,0.328732103165241
"686","Estonia",2006,0.330595598147181
"687","Estonia",2007,0.332643795418194
