"","Country","Year","male_population","male_suicide_rate","female_population","female_suicide_rate","population","total_suicide_rate"
"1424","Netherlands",2008,7654094,0.000129603843381072,7852871,5.71765409109611e-05,15506964,9.286150403135e-05
"1425","Netherlands",2009,7704918,0.000138742553781883,7897260,5.86279291805006e-05,15602177,9.81273318460623e-05
"1426","Netherlands",2010,7750643,0.000145536312277575,7940768,6.0195688880471e-05,15691410,0.000102285263083432
"1427","Netherlands",2011,7791945,0.000146048258810862,7980219,6.44092599463749e-05,15772163,0.00010467809646654
"1428","Netherlands",2012,7826412,0.000151665923030886,8013093,7.12583767591366e-05,15839504,0.000110925190586776
"1429","Netherlands",2013,7857355,0.000166468232630446,8042155,6.83896293965983e-05,15899509,0.000116796059551273
"1430","Netherlands",2014,7857355,0.00015921388304334,8042155,7.33634206254418e-05,15899509,0.000115726844143426
"1431","Netherlands",2015,7942981,0.000161526258214643,8114363,7.2957051588646e-05,16057343,0.000116706730372516
"1432","New Zealand",1985,1497401,0.000170962888364573,1528401,5.49593987441777e-05,3025801,0.00011203644919147
"1433","New Zealand",1986,1494201,0.000202114708797545,1531901,7.44173415906119e-05,3026101,0.000137140168156978
